,species_name,lon,lat
1,Amazona_xantholora,-88.653915,17.751793
2,Amazona_xantholora,-88.53427,17.771248
3,Amazona_xantholora,-88.615036,17.873577
4,Amazona_xantholora,-88.35388,17.641127
5,Amazona_xantholora,-88.21834,18.22011
6,Amazona_xantholora,-89.1112,17.539154
7,Amazona_xantholora,-89.05,17.835556
8,Amazona_xantholora,-89.272222,18.636667
9,Amazona_xantholora,-89.413611,18.594444
10,Amazona_xantholora,-90.375556,19.9425
11,Amazona_xantholora,-89.678889,19.508889
12,Amazona_xantholora,-90.231667,19.5975
13,Amazona_xantholora,-88.18945,18.306322
14,Amazona_xantholora,-88.45711,18.175701
15,Amazona_xantholora,-89.391111,18.730833
16,Amazona_xantholora,-89.3225,18.607222
17,Amazona_xantholora,-88.7079,17.527184
18,Amazona_xantholora,-89.683056,19.325278
19,Amazona_xantholora,-89.726389,19.461944
20,Amazona_xantholora,-88.56864,17.74466
21,Amazona_xantholora,-87.676111,19.798611
22,Amazona_xantholora,-89.100833,18.932222
23,Amazona_xantholora,-88.32849,17.900066
24,Amazona_xantholora,-88.77,19.708333
25,Amazona_xantholora,-88.53607,17.715986
26,Amazona_xantholora,-86.915,20.436667
27,Amazona_xantholora,-88.1025,19.195278
28,Amazona_xantholora,-88.532555,17.989965
29,Amazona_xantholora,-89.393333,18.503333
30,Amazona_xantholora,-88.34727,17.764875
31,Amazona_xantholora,-88.61969,18.119722
32,Amazona_xantholora,-86.893333,20.481667
33,Amazona_xantholora,-88.42925,18.43711
34,Amazona_xantholora,-88.10921,20.526404
35,Amazona_xantholora,-87.908713,21.524329
38,Amazona_xantholora,-88.574891,20.680785
39,Amazona_xantholora,-87.160697,20.930712
40,Amazona_xantholora,-88.581817,20.450867
41,Amazona_xantholora,-86.837285,21.142801
42,Amazona_xantholora,-87.441842,20.271156
43,Amazona_xantholora,-89.808528,18.091723
44,Amazona_xantholora,-89.997469,18.522098
45,Amazona_xantholora,-89.297986,18.458351
47,Amazona_xantholora,-88.54072,17.824198
48,Amazona_xantholora,-88.51494,18.32269
50,Amazona_xantholora,-88.492935,18.23548
51,Amazona_xantholora,-88.34853,17.582855
52,Amazona_xantholora,-88.419815,17.67353
53,Amazona_xantholora,-90.19207,17.536673
54,Amazona_xantholora,-88.407295,18.209188
55,Amazona_xantholora,-88.674,17.29661
56,Amazona_xantholora,-88.32695,18.32924
57,Amazona_xantholora,-88.756836,17.418835
58,Amazona_xantholora,-88.6779,18.130623
59,Amazona_xantholora,-88.30702,17.53523
60,Amazona_xantholora,-88.4017,18.394835
61,Amazona_xantholora,-88.110805,20.420505
63,Amazona_xantholora,-88.19463,17.998222
64,Amazona_xantholora,-88.359116,18.006159
65,Amazona_xantholora,-88.40746,17.545591
66,Amazona_xantholora,-88.54753,18.081905
67,Amazona_xantholora,-88.73312,17.463757
69,Amazona_xantholora,-88.39747,18.474619
70,Amazona_xantholora,-88.27304,18.259277
71,Amazona_xantholora,-88.36312,18.10949
72,Amazona_xantholora,-88.85585,17.241154
73,Amazona_xantholora,-87.165571,20.750717
74,Amazona_xantholora,-89.04642,17.562826
75,Amazona_xantholora,-88.50104,17.48573
77,Amazona_xantholora,-88.403585,20.538516
78,Amazona_xantholora,-88.668884,17.58578
79,Amazona_xantholora,-89.02409,17.40433
80,Amazona_xantholora,-88.428671,20.641474
81,Amazona_xantholora,-88.502403,20.659668
82,Amazona_xantholora,-87.30114,20.511253
83,Amazona_xantholora,-88.32195,18.265053
84,Amazona_xantholora,-88.79991,17.247175
85,Amazona_xantholora,-88.563042,20.779568
87,Amazona_xantholora,-88.56483,17.602165
88,Amazona_xantholora,-88.5457,17.45168
89,Amazona_xantholora,-88.36504,18.28359
90,Amazona_xantholora,-87.0134,20.795211
91,Amazona_xantholora,-89.07646,17.323696
92,Amazona_xantholora,-88.40644,18.344048
93,Amazona_xantholora,-88.62489,17.536987
95,Amazona_xantholora,-87.006968,20.892703
96,Amazona_xantholora,-89.067375,20.187924
97,Amazona_xantholora,-88.78554,17.194914
100,Amazona_xantholora,-87.09992,20.752227
101,Amazona_xantholora,-88.83146,17.906294
102,Amazona_xantholora,-89.301834,17.748652
103,Amazona_xantholora,-88.24666,18.302526
105,Amazona_xantholora,-88.51922,17.929884
106,Amazona_xantholora,-87.092293,20.6136
108,Amazona_xantholora,-88.855896,17.413912
109,Amazona_xantholora,-87.081027,20.710455
110,Amazona_xantholora,-88.47055,18.288437
111,Amazona_xantholora,-89.39983,17.205662
112,Amazona_xantholora,-86.933359,21.0618
113,Amazona_xantholora,-88.254403,20.652051
114,Amazona_xantholora,-89.350478,19.934402
115,Amazona_xantholora,-88.75574,17.858894
116,Amazona_xantholora,-87.92617,17.977608
117,Amazona_xantholora,-89.662989,20.383459
118,Amazona_xantholora,-88.49028,17.828342
119,Amazona_xantholora,-88.027143,20.517141
121,Amazona_xantholora,-88.194345,20.496243
122,Amazona_xantholora,-89.985862,18.355285
123,Amazona_xantholora,-88.95927,17.884226
124,Amazona_xantholora,-88.41429,18.264973
125,Amazona_xantholora,-90.18078,17.480738
126,Amazona_xantholora,-90.740237,18.324025
127,Amazona_xantholora,-87.164135,20.800135
128,Amazona_xantholora,-88.15194,18.192032
129,Amazona_xantholora,-88.186043,20.416691
130,Amazona_xantholora,-88.58307,18.038452
131,Amazona_xantholora,-88.699425,18.04958
132,Amazona_xantholora,-90.01288,17.422865
133,Amazona_xantholora,-90.060905,17.468716
134,Amazona_xantholora,-88.51575,18.155062
135,Amazona_xantholora,-88.755615,17.993546
136,Amazona_xantholora,-88.76514,17.295181
137,Amazona_xantholora,-88.34653,18.435646
138,Amazona_xantholora,-87.044311,20.935909
139,Amazona_xantholora,-88.19454,17.512976
140,Amazona_xantholora,-88.96223,17.550262
141,Amazona_xantholora,-88.117854,19.453134
142,Amazona_xantholora,-89.92839,17.755009
143,Amazona_xantholora,-88.272,17.46962
144,Amazona_xantholora,-89.52185,17.69629
145,Amazona_xantholora,-89.59478,17.52173
146,Amazona_xantholora,-89.45743,17.68833
147,Amazona_xantholora,-87.869286,18.092487
148,Amazona_xantholora,-90.10612,17.531448
150,Amazona_xantholora,-89.634,17.39441
151,Amazona_xantholora,-88.58986,18.084745
152,Amazona_xantholora,-89.429939,18.009673
153,Amazona_xantholora,-88.275246,17.98201
156,Amazona_xantholora,-90.2358,17.173594
157,Amazona_xantholora,-89.578186,17.223862
158,Amazona_xantholora,-88.72133,17.752117
159,Amazona_xantholora,-88.53966,17.553368
160,Amazona_xantholora,-87.062454,21.357096
161,Amazona_xantholora,-87.86916,18.138283
162,Amazona_xantholora,-88.501804,18.423896
164,Amazona_xantholora,-88.057705,19.120289
165,Amazona_xantholora,-88.76799,17.503283
166,Amazona_xantholora,-88.322426,17.472471
167,Amazona_xantholora,-88.537156,18.608764
168,Amazona_xantholora,-88.074651,20.586614
169,Amazona_xantholora,-89.81956,18.338214
170,Amazona_xantholora,-88.117143,20.583784
171,Amazona_xantholora,-88.4735,17.568981
172,Amazona_xantholora,-88.9478,17.671093
173,Amazona_xantholora,-89.908262,18.526546
174,Amazona_xantholora,-89.869713,18.481123
175,Amazona_xantholora,-86.943349,21.296381
176,Amazona_xantholora,-89.69367,16.994001
177,Amazona_xantholora,-89.31433,18.31464
178,Amazona_xantholora,-89.85658,18.31183
179,Amazona_xantholora,-90.159244,18.139522
180,Amazona_xantholora,-88.311195,17.835161
181,Amazona_xantholora,-88.26786,18.137688
183,Amazona_xantholora,-87.593715,20.23415
184,Amazona_xantholora,-89.347361,18.802339
185,Amazona_xantholora,-89.84575,18.60615
186,Amazona_xantholora,-89.89696,18.40746
187,Amazona_xantholora,-88.8519,17.154228
188,Amazona_xantholora,-88.595726,17.967474
189,Amazona_xantholora,-89.89553,18.36409
190,Amazona_xantholora,-87.895667,19.658667
191,Amazona_xantholora,-89.288333,18.822222
192,Amazona_xantholora,-90.08087,18.53453
193,Amazona_xantholora,-90.04725,18.50835
194,Amazona_xantholora,-89.239167,18.798333
195,Amazona_xantholora,-89.12923,17.890074
196,Amazona_xantholora,-89.343611,19.276667
197,Amazona_xantholora,-90.20972,18.48
200,Amazona_xantholora,-89.517512,18.596165
201,Amazona_xantholora,-89.485933,18.562797
206,Amazona_xantholora,-88.147514,18.34803
209,Amazona_xantholora,-88.444786,17.491213
214,Amazona_xantholora,-88.65326,17.206696
221,Amazona_xantholora,-88.55487,17.363016
233,Amazona_xantholora,-86.840263,20.205993
236,Amazona_xantholora,-88.55596,17.302568
239,Amazona_xantholora,-88.48912,17.414366
241,Amazona_xantholora,-88.10233,18.365744
248,Amazona_xantholora,-88.45954,17.305193
261,Amazona_xantholora,-88.605675,17.27617
264,Amazona_xantholora,-87.029766,20.650375
270,Amazona_xantholora,-87.189869,20.440987
279,Amazona_xantholora,-88.305855,17.37395
280,Amazona_xantholora,-88.30876,18.454216
302,Amazona_xantholora,-88.0348,17.729345
305,Amazona_xantholora,-88.25775,18.528436
